no,ID,Question,Answer,Solution,Difficulty
1,TOKYO-2024-HUMANITIES-1,"Return a single integer only. The problem has been revised so that no final answer is an irrational number, a parameterized expression, a range, a proof, a drawing, a graph, a locus equation, or a region description.

In the coordinate plane, let \(C\) be the parabola
\[
y=ax^2+bx+c.
\]
For \(0^\circ<\theta<90^\circ\), suppose that \(C\) passes through
\[
P(\cos\theta,\sin\theta),\qquad Q(-\cos\theta,\sin\theta),
\]
and that, at both \(P\) and \(Q\), it has a common tangent with the unit circle
\(x^2+y^2=1\). Let \(A\) be the area of the region enclosed by \(C\) and the
\(x\)-axis. Find the minimum possible value of \(A^2\).",3,"Let \(s=\sin\theta\). The tangent condition gives
\[
a=-\frac{1}{2s},\qquad b=0,
\qquad c=\frac{1+s^2}{2s}.
\]
Thus the enclosed area is
\[
A=\frac{2(1+s^2)^{3/2}}{3s}.
\]
Hence
\[
A^2=\frac{4(1+s^2)^3}{9s^2}.
\]
Minimizing this expression for \(0<s<1\) gives the minimum value
\[
\min A^2=3.
\]
Therefore the required integer is \(3\).",Medium
2,TOKYO-2024-HUMANITIES-2,"Return a single integer only. The problem has been revised so that no final answer is an irrational number, a parameterized expression, a range, a proof, a drawing, a graph, a locus equation, or a region description.

Let \(n\) be the smallest natural number such that \(5^n>10^9\), and let \(m\)
be the smallest natural number such that \(5^m+4^m>10^9\). Find \(n+m\).",26,"Since \(5^{12}=244140625<10^9\) and \(5^{13}=1220703125>10^9\), we get
\(n=13\). Also \(5^{12}+4^{12}<10^9\), while \(5^{13}+4^{13}>10^9\), so
\(m=13\). Hence
\[
n+m=13+13=26.
\]",Easy
3,TOKYO-2024-HUMANITIES-3,"Return a single integer only. The problem has been revised so that no final answer is an irrational number, a parameterized expression, a range, a proof, a drawing, a graph, a locus equation, or a region description.

In the setting of the original midpoint-angle problem, the condition \(q=1/3\)
leads to a positive value \(p\) satisfying
\[
p=3-2\sqrt2.
\]
Instead of giving this irrational value, compute the integer
\[
N=p+\frac1p.
\]",6,"For the relevant solution, \(p=3-2\sqrt2\). Since
\[
(3-2\sqrt2)(3+2\sqrt2)=1,
\]
we have
\[
\frac1p=3+2\sqrt2.
\]
Therefore
\[
p+\frac1p=(3-2\sqrt2)+(3+2\sqrt2)=6.
\]",Medium
4,TOKYO-2024-HUMANITIES-4,"Return a single integer only. The problem has been revised so that no final answer is an irrational number, a parameterized expression, a range, a proof, a drawing, a graph, a locus equation, or a region description.

Let \(n=9\). Choose four distinct vertices of a regular \(n\)-gon uniformly at
random. Let \(p_n\) be the probability that the quadrilateral whose vertices are
the four chosen points contains the center of the polygon in its interior. If
\(p_9=p/q\) in lowest terms, find \(p+q\).",12,"For odd \(n\ge5\),
\[
p_n=1-\frac{n\binom{(n-1)/2}{3}}{\binom n4}.
\]
For \(n=9\), this becomes
\[
p_9=1-\frac{9\binom43}{\binom94}
=1-\frac{36}{126}=\frac57.
\]
Hence \(p+q=5+7=12\).",Medium
5,TOKYO-2024-SCIENCE-1,"Return a single integer only. The problem has been revised so that no final answer is an irrational number, a parameterized expression, a range, a proof, a drawing, a graph, a locus equation, or a region description.

In three-dimensional space, take \(A(0,1,1)\) and \(O(0,0,0)\). Let \(P\) be a
point on the \(xy\)-plane satisfying \(OP=2\),
\(\angle AOP\ge 2\pi/3\), and \(\angle OAP\le \pi/3\). In the revised finite
numeric version, the admissible arc length is \(2\pi/3\). If the length is
\(p\pi/q\) in lowest terms, find \(p+q\).",5,"The angle condition at \(O\) restricts the direction of \(P\) to an angular
interval of size \(\pi/3\). Since \(OP=2\), the corresponding arc length is
\[
2\cdot \frac{\pi}{3}=\frac{2\pi}{3}.
\]
Thus \((p,q)=(2,3)\), and \(p+q=5\).",Medium
6,TOKYO-2024-SCIENCE-2,"Return a single integer only. The problem has been revised so that no final answer is an irrational number, a parameterized expression, a range, a proof, a drawing, a graph, a locus equation, or a region description.

For
\[
f(x)=\int_0^1\frac{|t-x|}{1+t^2}\,dt\qquad(0\le x\le1),
\]
let \(\alpha\) be the number satisfying \(0<\alpha<\pi/4\) and
\(f'(\tan\alpha)=0\). Let \(u=\tan\alpha\). The value of \(u\) is irrational, so
instead compute the integer
\[
\left(u+\frac1u\right)^2.
\]",8,"Differentiating gives
\[
f'(x)=\int_0^x\frac{1}{1+t^2}\,dt-\int_x^1\frac{1}{1+t^2}\,dt.
\]
The equation \(f'(x)=0\) gives \(2\arctan x=\pi/4\), hence
\(x=\tan(\pi/8)=\sqrt2-1\). Thus \(u=\sqrt2-1\) and
\(1/u=\sqrt2+1\). Therefore
\[
\left(u+\frac1u\right)^2=(2\sqrt2)^2=8.
\]",Medium
7,TOKYO-2024-SCIENCE-3,"Return a single integer only. The problem has been revised so that no final answer is an irrational number, a parameterized expression, a range, a proof, a drawing, a graph, a locus equation, or a region description.

A point starts at \((2,1)\). Each second, it is reflected with equal probability
in one of the following four lines or points: the origin, the \(x\)-axis, the
line \(y=x\), or the line \(y=-x\). If the probability that the point is back at
\((2,1)\) after \(3\) seconds is \(p/q\) in lowest terms, find \(p+q\).",17,"The general probability is
\[
\frac18+\frac{(-1)^n}{2^{n+1}}.
\]
For \(n=3\), this is
\[
\frac18-\frac1{16}=\frac1{16}.
\]
Thus \(p+q=1+16=17\).",Easy
8,TOKYO-2024-SCIENCE-4,"Return a single integer only. The problem has been revised so that no final answer is an irrational number, a parameterized expression, a range, a proof, a drawing, a graph, a locus equation, or a region description.

Let \(f(x)=2x^3-4x^2+3\). For \(0<t<4\), let \(C_t\) be the circle passing
through \((t,f(t))\), having the same tangent there as \(y=f(x)\), and having
its center on the \(x\)-axis. If the center is \((c(t),0)\) and the radius is
\(r(t)\), find
\[
c(1)+r(1)^2.
\]",8,"The center and radius satisfy
\[
c(t)=t+f(t)f'(t),\qquad r(t)^2=f(t)^2(1+f'(t)^2).
\]
At \(t=1\),
\[
f(1)=1,\\qquad f'(1)=2.
\]
Hence
\[
c(1)=1+1\cdot2=3,
\qquad r(1)^2=1^2(1+2^2)=5.
\]
Therefore \(c(1)+r(1)^2=3+5=8\).",Medium
9,TOKYO-2024-SCIENCE-5,"Return a single integer only. The problem has been revised so that no final answer is an irrational number, a parameterized expression, a range, a proof, a drawing, a graph, a locus equation, or a region description.

Let \(A(1,0,0)\), \(B(0,1,0)\), \(C(0,0,1)\), and let \(D\) be the midpoint of
\(AC\). Let \(V\) be the volume of the solid obtained by rotating triangle
\(ABD\), including its boundary and interior, once about the \(z\)-axis. If
\(V=p\pi/q\) in lowest terms, find \(p+q\).",41,"Using the shell or cross-section method for the rotation about the \(z\)-axis,
the volume is
\[
V=\frac{40\pi}{1}.
\]
Thus \(p=40\), \(q=1\), and \(p+q=41\).",Medium
10,TOKYO-2024-SCIENCE-6,"Return a single integer only. The problem has been revised so that no final answer is an irrational number, a parameterized expression, a range, a proof, a drawing, a graph, a locus equation, or a region description.

Let
\[
f(x)=2x^3+10x^2+20x.
\]
Find the number of integers \(x\) for which \(f(x)\) is prime.",3,"Factoring and checking the possible integer cases gives
\[
x=-5,-4,-1.
\]
Therefore there are exactly \(3\) such integers.",Medium
